DeviceName,EntityId,TsYMD,CH2O,PM2.5,PM10,TVOC,CO2,Temperature,Humidity,Radioactivity,Sound,CO,Stink,NO2,H2S,NH3
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 02:39:48,41.0,10.0,18.0,1474.0,524.0,20.59,21.79,0.0,37.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 02:41:48,41.0,10.0,18.0,1479.0,526.0,20.59,21.79,0.0,29.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 02:43:48,41.0,10.0,18.0,1459.0,524.0,20.59,21.79,0.0,32.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 02:45:48,41.0,10.0,18.0,1448.0,521.0,20.58,21.78,0.0,37.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 02:47:48,41.0,10.0,18.0,1460.0,521.0,21.95,21.78,0.0,33.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 02:49:48,41.0,10.0,18.0,1445.0,525.0,20.57,21.77,0.0,37.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 02:51:48,41.0,9.0,17.0,1429.0,521.0,20.57,21.77,0.0,32.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 02:53:49,41.0,9.0,17.0,1436.0,521.0,20.56,21.76,0.0,41.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 02:55:48,41.0,8.0,13.0,1441.0,521.0,20.56,21.76,0.0,35.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 02:57:49,41.0,9.0,17.0,1444.0,522.0,21.94,21.76,0.0,32.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 02:59:49,41.0,9.0,15.0,1436.0,521.0,21.93,21.75,0.0,32.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 03:01:49,41.0,9.0,15.0,1448.0,518.0,20.55,21.75,0.0,33.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 03:03:49,41.0,8.0,14.0,1444.0,519.0,20.54,21.74,0.0,33.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 03:05:49,41.0,8.0,15.0,1427.0,517.0,20.54,21.74,0.0,32.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 03:07:49,41.0,8.0,14.0,1428.0,520.0,20.54,21.73,0.0,32.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 03:09:49,41.0,8.0,13.0,1434.0,518.0,20.53,21.73,0.0,38.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 03:11:49,41.0,8.0,14.0,1438.0,513.0,20.54,21.72,0.0,32.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 03:13:49,41.0,8.0,14.0,1425.0,515.0,20.53,21.72,0.0,35.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 03:15:49,41.0,9.0,16.0,1411.0,513.0,20.52,21.7,0.0,37.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 03:17:49,41.0,9.0,16.0,1410.0,509.0,20.51,21.7,0.0,32.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 03:19:49,41.0,9.0,17.0,1410.0,510.0,20.51,21.7,0.0,34.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 03:21:50,41.0,8.0,13.0,1424.0,512.0,23.26,21.7,0.0,30.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 03:23:49,41.0,8.0,13.0,1403.0,510.0,23.26,21.7,0.0,32.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 03:25:50,41.0,8.0,13.0,1425.0,512.0,20.48,21.69,0.0,37.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 03:27:50,41.0,8.0,13.0,1416.0,510.0,21.86,21.71,0.0,39.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 03:29:50,41.0,8.0,13.0,1411.0,511.0,21.86,21.69,0.0,32.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 03:31:50,41.0,8.0,13.0,1415.0,508.0,21.85,21.69,0.0,36.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 03:33:50,41.0,8.0,13.0,1421.0,510.0,21.84,21.68,0.0,31.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 03:35:50,41.0,8.0,13.0,1390.0,507.0,21.83,21.67,0.0,33.0,0.0,0.0,0.0,0.0,0.0
